username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ClassySnobbb;2016-01-07 18:58;0;9;"#MillennialsForTrump #MakeAmericaGreatAgain pic.twitter.com/bCfO75RHgZ";;;#MillennialsForTrump #MakeAmericaGreatAgain;"685249276922982400";https://twitter.com/ClassySnobbb/status/685249276922982400
campofthesaints;2016-01-07 18:58;10;5;"#rapefugees #whitegenocide #MakeAmericaGreatAgain pic.twitter.com/DswZpiEN0f";;;#rapefugees #whitegenocide #MakeAmericaGreatAgain;"685249199970103296";https://twitter.com/campofthesaints/status/685249199970103296
ofccadjust;2016-01-07 18:58;0;0;"Feel the Bern dopes! You can't Stump the #TRUMP ! #Trump2016 #Vermont #MakeAmericaGreatAgain #VoteTrump2016 #Iowa https:// twitter.com/ameripundit/st atus/685247964219052033 …";;;#TRUMP #Trump2016 #Vermont #MakeAmericaGreatAgain #VoteTrump2016 #Iowa;"685249116742500352";https://twitter.com/ofccadjust/status/685249116742500352
sean_con10;2016-01-07 18:56;0;11;"Are Hilary and Bill Clinton even married? Like there's no way those two people actually like each other #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"685248734205227009";https://twitter.com/sean_con10/status/685248734205227009
JakeFranko;2016-01-07 18:56;0;2;"@emponcher #MakeAmericaGreatAgain";;@emponcher;#MakeAmericaGreatAgain;"685248555326517248";https://twitter.com/JakeFranko/status/685248555326517248
misterdish69;2016-01-07 18:54;3;2;"#MakeAmericaGreatAgain #TrumpNation #BuildTheWall #TrumpForPresident #WhyISupportTrump #TrumpsGotMyVote https:// twitter.com/O_IrishT/statu s/685245446902706176 …";;;#MakeAmericaGreatAgain #TrumpNation #BuildTheWall #TrumpForPresident #WhyISupportTrump #TrumpsGotMyVote;"685248273473495040";https://twitter.com/misterdish69/status/685248273473495040
BOB_EWASHINGTON;2016-01-07 18:54;3;4;"#Trump2016 #Trump #TrumpTrain #VoteTrump2016 #MakeAmericaGreatAgain https:// twitter.com/SopanDeb/statu s/685248062424518658 …";;;#Trump2016 #Trump #TrumpTrain #VoteTrump2016 #MakeAmericaGreatAgain;"685248194410762241";https://twitter.com/BOB_EWASHINGTON/status/685248194410762241
dawnellemurray;2016-01-07 18:54;4;7;"IOWA People!!!! DO SOMETHING!!! Get out there for @realDonaldTrump !!! #MakeAmericaGreatAgain . #TRUMPARMY pic.twitter.com/cYtZGSLZUh";;@realDonaldTrump;#MakeAmericaGreatAgain #TRUMPARMY;"685248055424200704";https://twitter.com/dawnellemurray/status/685248055424200704
TheRiot94;2016-01-07 18:51;0;0;"Come watch @realDonaldTrump rally live in Burlington, VT #MakeAmericaGreatAgain https:// youtu.be/kS62y2HmHTs";;@realDonaldTrump;#MakeAmericaGreatAgain;"685247495711031296";https://twitter.com/TheRiot94/status/685247495711031296
ScreedofChucky;2016-01-07 18:51;0;0;"North Carolina Democrats 'ditching and switching' for Trump? http://www. americanthinker.com/blog/2016/01/n orth_carolina_democrats_ditching_and_switching_for_trump.html#.Vo75SVMmyb8.twitter … #DitchAndSwitch @DiamondandSilk #MakeAmericaGreatAgain";;@DiamondandSilk;# #DitchAndSwitch #MakeAmericaGreatAgain;"685247355956887552";https://twitter.com/ScreedofChucky/status/685247355956887552
RonThornton;2016-01-07 18:51;2;1;"@realDonaldTrump First day in office... Repeal "Obama Law " #DonaldTrump #MakeAmericaGreatAgain pic.twitter.com/IxT83EoP2f";Plano, TX;@realDonaldTrump;#DonaldTrump #MakeAmericaGreatAgain;"685247347123605504";https://twitter.com/RonThornton/status/685247347123605504
JDMoore17;2016-01-07 18:50;0;1;"AT THE FLYNN FOR DONALD!!!!! #MakeAmericaGreatAgain @realDonaldTrump";;@realDonaldTrump;#MakeAmericaGreatAgain;"685247267666837504";https://twitter.com/JDMoore17/status/685247267666837504
sgtlloydusmc;2016-01-07 18:50;2;1;"You can tell it's getting close to the ELECTION the Rinos are getting nervous #NoRinos2016 #BuildTheWall #MakeAmericaGreatAgain #Trump2016";;;#NoRinos2016 #BuildTheWall #MakeAmericaGreatAgain #Trump2016;"685247247668219904";https://twitter.com/sgtlloydusmc/status/685247247668219904
MGKrupa;2016-01-07 18:50;0;0;"Dla nocnych szczurów, tu livestream przemówienia @realDonaldTrump na wiecu w Burlington, Vermont. #MakeAmericaGreatAgain";;@realDonaldTrump;#MakeAmericaGreatAgain;"685247219981762560";https://twitter.com/MGKrupa/status/685247219981762560
rescuetracker81;2016-01-07 18:50;2;3;"#Trump2016 #Trump #UnitingMovement4TRUMP #MakeAmericaGreatAgain https:// twitter.com/Lars9596/statu s/685093935203659777 …";;;#Trump2016 #Trump #UnitingMovement4TRUMP #MakeAmericaGreatAgain;"685247190021869568";https://twitter.com/rescuetracker81/status/685247190021869568
CaptbeauX;2016-01-07 18:50;0;0;"#MakeAmericaGreatAgain https:// twitter.com/arappeport/sta tus/684714609312428036 …";;;#MakeAmericaGreatAgain;"685247186230063105";https://twitter.com/CaptbeauX/status/685247186230063105
Ollie_621;2016-01-07 18:50;0;2;"#TrumpTrain #MakeAmericaGreatAgain Only 10 more minutes! LIVE Donald Trump Rally-Burlington, VT - 7:00 PM (EST) http:// thesilentmajorityhasrisen.com/index.php/2016 /01/07/trumptrain-riders-trump-rally-in-sanders-back-yard-1-7-16/ …";;;#TrumpTrain #MakeAmericaGreatAgain;"685247163375448064";https://twitter.com/Ollie_621/status/685247163375448064
yeahsureokuhhuh;2016-01-07 18:50;0;1;"Be the change you want to see in America and stop making jokes about "the cloud." #EnoughIsEnough #MakeAmericaGreatAgain";Los Angeles, CA;;#EnoughIsEnough #MakeAmericaGreatAgain;"685247082995650561";https://twitter.com/yeahsureokuhhuh/status/685247082995650561
NNealWhitefield;2016-01-07 18:48;0;0;"It's PACKED! LIVE Stream: #Trump Rally in Burlington, VT (1-7-16) https:// youtu.be/kS62y2HmHTs #MakeAmericaGreatAGain";;;#Trump #MakeAmericaGreatAGain;"685246772382310400";https://twitter.com/NNealWhitefield/status/685246772382310400
BOB_EWASHINGTON;2016-01-07 18:48;1;1;"#Trump2016 #Trump #TrumpTrain #VoteTrump2016 #MakeAmericaGreatAgain https:// twitter.com/chrislhayes/st atus/685144577339211776 …";;;#Trump2016 #Trump #TrumpTrain #VoteTrump2016 #MakeAmericaGreatAgain;"685246554983108609";https://twitter.com/BOB_EWASHINGTON/status/685246554983108609
realNickDeSisto;2016-01-07 18:47;0;2;"@realDonaldTrump As President Can u make an executive order that puts Barry Bonds & Pete Rose in the @BaseballHall ? #MakeAmericaGreatAgain";;@realDonaldTrump @BaseballHall;#MakeAmericaGreatAgain;"685246529096003584";https://twitter.com/realNickDeSisto/status/685246529096003584
TwitloadOhTrump;2016-01-07 18:47;1;2;"#TrumpTrain #Trump2016 #TrumpArmy #NRA #MakeAmericaGreatAgain https:// twitter.com/Perfectly_Laur a/status/685245662842077189 …";;;#TrumpTrain #Trump2016 #TrumpArmy #NRA #MakeAmericaGreatAgain;"685246396149043200";https://twitter.com/TwitloadOhTrump/status/685246396149043200
woodseysmith;2016-01-07 18:45;0;1;"@Pwood39Patricia try for following.. I look forward to your comments.. #MakeAmericaGreatAgain";;@Pwood39Patricia;#MakeAmericaGreatAgain;"685245994276098048";https://twitter.com/woodseysmith/status/685245994276098048
Radio_4TRUMP;2016-01-07 18:45;3;2;"@brothersnarmsUS I'm from a small town outside Bakersfield. Good to see U representin' @realDonaldTrump ! #Trump2016 #MakeAmericaGreatAgain !";;@brothersnarmsUS @realDonaldTrump;#Trump2016 #MakeAmericaGreatAgain;"685245841284575233";https://twitter.com/Radio_4TRUMP/status/685245841284575233
MissAmericaPie;2016-01-07 18:45;1;0;"GOOOO GENERAL #TRUMP !!! #MakeAmericaGreatAgain !!! https:// twitter.com/realdonaldtrum p/status/685207046921269249 …";;;#TRUMP #MakeAmericaGreatAgain;"685245822779314176";https://twitter.com/MissAmericaPie/status/685245822779314176
amrightnow;2016-01-07 18:45;22;16;""The Real Trump" Make Video (Trump About You) https:// youtu.be/2_5b98GrlPE #MakeAmericaGreatAgain #trumptrain pic.twitter.com/pHG7sWMXS4";;;#MakeAmericaGreatAgain #trumptrain;"685245819684020224";https://twitter.com/amrightnow/status/685245819684020224
Verona83;2016-01-07 18:45;1;2;"@KatrinaPierson @meganena13 @seanhannity @FoxNews I will be watching you on #Hannity tonight Katrina! We will #MakeAmericaGreatAgain !!!";Vacaville, CA;@KatrinaPierson @meganena13 @seanhannity @FoxNews;#Hannity #MakeAmericaGreatAgain;"685245792353816576";https://twitter.com/Verona83/status/685245792353816576
rescuetracker81;2016-01-07 18:44;1;2;"#Trump2016 #Trump #UnitingMovement4TRUMP #MakeAmericaGreatAgain https:// twitter.com/WayneRoot/stat us/685219022888022016 …";;;#Trump2016 #Trump #UnitingMovement4TRUMP #MakeAmericaGreatAgain;"685245730722824192";https://twitter.com/rescuetracker81/status/685245730722824192
BertShad;2016-01-07 18:44;1;4;"@BretBaier Why do you have all these crazy anti #trump people on your program ? #MakeAmericaGreatAgain #Foxnews @Foxnews";;@BretBaier @Foxnews;#trump #MakeAmericaGreatAgain #Foxnews;"685245637458268161";https://twitter.com/BertShad/status/685245637458268161
KristineQ930;2016-01-07 18:42;0;0;"#WakeUpAmerica #MakeAmericaGreatAgain #Trump2016 #TrumpWasRight #criminalsAtWork #CriminalMinds Get #2A rights WTH? https:// twitter.com/cbsbaltimore/s tatus/685244235239534593 …";;;#WakeUpAmerica #MakeAmericaGreatAgain #Trump2016 #TrumpWasRight #criminalsAtWork #CriminalMinds #2A;"685245210352304128";https://twitter.com/KristineQ930/status/685245210352304128
DCBuffkin;2016-01-07 18:42;9;6;"Donald Trump just threw the kitchen sink at the Clintons http:// wapo.st/1JwUcb4?tid=ss _tw … Don't mess with the #DonaldTrump ! #MAKEAMERICAGREATAGAIN";;;#DonaldTrump #MAKEAMERICAGREATAGAIN;"685245186348331008";https://twitter.com/DCBuffkin/status/685245186348331008
jakub_lisa;2016-01-07 18:42;1;2;"a VOTE for TRUMP is a VOTE for VETS! #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/WMXYNcTs87";;;#MakeAmericaGreatAgain #Trump2016;"685245089199865856";https://twitter.com/jakub_lisa/status/685245089199865856
TrumpMyPres;2016-01-07 18:42;7;5;"The time for silence is over for Clinton's @realDonaldTrump #MakeAmericaGreatAgain #realdonaldtrump @HillaryClinton https:// twitter.com/atensnut/statu s/684822324227379200 …";;@realDonaldTrump @HillaryClinton;#MakeAmericaGreatAgain #realdonaldtrump;"685245055217483776";https://twitter.com/TrumpMyPres/status/685245055217483776
