username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
keksec__org;2016-10-31 16:49;35;110;"@realDonaldTrump The people in this state will mostly vote Trump. I can feel it. #MakeAmericaGreatAgain pic.twitter.com/aSPslbdkUM";Alaska, USA;@realDonaldTrump;#MakeAmericaGreatAgain;"793193315038486528";https://twitter.com/keksec__org/status/793193315038486528
tboatdude;2016-11-01 19:59;0;0;"#HillaryClinton #HFA #H4A #ImWithHer #StrongerTogether if you anti-American supporters haven't voted yet watch this #MakeAmericaGreatAgain https:// twitter.com/logicalcampaig n/status/793260535122886661 …";Tennessee, USA;;#HillaryClinton #HFA #H4A #ImWithHer #StrongerTogether #MakeAmericaGreatAgain;"793603331880984576";https://twitter.com/tboatdude/status/793603331880984576
realCGriffiths;2016-11-01 19:57;0;0;"The same ppl who complain about #TrumpTaxReturns probably fill out deductions each April. #TRUMP #NeverHillary #MakeAmericaGreatAgain";;;#TrumpTaxReturns #TRUMP #NeverHillary #MakeAmericaGreatAgain;"793602790320844800";https://twitter.com/realCGriffiths/status/793602790320844800
MAGA_MAN2016;2016-11-01 19:56;0;1;"Amazing rally here in Eau Claire, Wisconsin. So much enthusiasm and so many people. #DrainTheSwamp #MakeAmericaGreatAgain";;;#DrainTheSwamp #MakeAmericaGreatAgain;"793602741176107008";https://twitter.com/MAGA_MAN2016/status/793602741176107008
SeanLewandowski;2016-11-01 19:55;0;5;"Proudly voted for @realDonaldTrump lets #MakeAmericaGreatAgain #NVTRUMP #REDNevada #MAGA pic.twitter.com/aGvdseDXGG";;@realDonaldTrump;#MakeAmericaGreatAgain #NVTRUMP #REDNevada #MAGA;"793602404155465728";https://twitter.com/SeanLewandowski/status/793602404155465728
politicsinmemes;2016-11-01 19:55;0;0;"@thehill @PositiveInt They should be. #MakeAmericaGreatAgain";;@thehill @PositiveInt;#MakeAmericaGreatAgain;"793602309523640321";https://twitter.com/politicsinmemes/status/793602309523640321
felinelady7;2016-11-01 19:55;0;1;"Changed my fan to VP. #MakeAmericaGreatAgain . pic.twitter.com/lILfnDtTVn";;;#MakeAmericaGreatAgain;"793602285687468032";https://twitter.com/felinelady7/status/793602285687468032
_maddylicious_;2016-11-01 19:54;0;3;"@zachgetchius #MakeAmericaGREATAgain #TrumpTrain #ChooChoo #YesIAmAWoman #GetOverIt #HillaryForPrison";;@zachgetchius;#MakeAmericaGREATAgain #TrumpTrain #ChooChoo #YesIAmAWoman #GetOverIt #HillaryForPrison;"793602167026376704";https://twitter.com/_maddylicious_/status/793602167026376704
22Americanfirst;2016-11-01 19:54;1;1;"#Americans every DAY #Unite to help #Trump #MakeAmericaGreatAgain https:// twitter.com/scottisbell_/s tatus/793573673156435969 …";;;#Americans #Unite #Trump #MakeAmericaGreatAgain;"793602140602265600";https://twitter.com/22Americanfirst/status/793602140602265600
drsurfkite;2016-11-01 19:54;0;1;"The #KKK #KuKluxKlan officially endorses Donald Trump for president #GetOutTheVote #MakeAmericaGreatAgain #2016 #HRC https://www. google.com/amp/s/www.wash ingtonpost.com/amphtml/news/post-politics/wp/2016/11/01/the-kkks-official-newspaper-has-endorsed-donald-trump-for-president/%3F0p19G%3De?client=safari …";;;#KKK #KuKluxKlan #GetOutTheVote #MakeAmericaGreatAgain #2016 #HRC;"793602059572424704";https://twitter.com/drsurfkite/status/793602059572424704
WiesnerFilms;2016-11-01 19:53;0;0;"#whatatimetobealive ! When an image board on the internet actually memed someone into presidency. #Imwithher #MakeAmericaGreatAgain #POTUS";;;#whatatimetobealive #Imwithher #MakeAmericaGreatAgain #POTUS;"793601971374714881";https://twitter.com/WiesnerFilms/status/793601971374714881
johnjoh60;2016-11-01 19:53;2;2;"https:// wikileaks.org/podesta-emails /emailid/927#efmFhxFke … #democratsforhillary #DemocratsForTrump #WisconsinForTrump #Wisconsin #MakeAmericaGreatAgain #TrumpTrain #Trump2k16 pic.twitter.com/q2xPiOIYfH";;;#efmFhxFke #democratsforhillary #DemocratsForTrump #WisconsinForTrump #Wisconsin #MakeAmericaGreatAgain #TrumpTrain #Trump2k16;"793601918513844229";https://twitter.com/johnjoh60/status/793601918513844229
CtBrokerRoks;2016-11-01 19:53;1;0;"I support Team Trump! Download the official app: http:// DonaldJTrump.com/app #MakeAmericaGreatAgain #TrumpTrain pic.twitter.com/Q4qxFmQ9ZG";;;#MakeAmericaGreatAgain #TrumpTrain;"793601794060513281";https://twitter.com/CtBrokerRoks/status/793601794060513281
MarcoGutierrez;2016-11-01 19:51;0;1;"@latinasfortrump : Periódico de New Jersey Gracias Roberto Cueto!!! #makeAmericaGreatAgain #Trump2016 pic.twitter.com/OBYuzJah8v";Discovery Bay, CA;@latinasfortrump;#makeAmericaGreatAgain #Trump2016;"793601464832712704";https://twitter.com/MarcoGutierrez/status/793601464832712704
22Americanfirst;2016-11-01 19:50;1;2;"#NorthCarolina Helps to #MakeAmericaGreatAgain https:// twitter.com/American1765/s tatus/793563482297868292 …";;;#NorthCarolina #MakeAmericaGreatAgain;"793601224113266688";https://twitter.com/22Americanfirst/status/793601224113266688
lionelverney;2016-11-01 19:50;1;1;"Good Lord willing and the creek don't rise - first step 2 #DrainTheSwamp - let's elect @realDonaldTrump & #MakeAmericaGreatAgain !!! pic.twitter.com/23NgFMtfnF";;@realDonaldTrump;#DrainTheSwamp #MakeAmericaGreatAgain;"793601223307911168";https://twitter.com/lionelverney/status/793601223307911168
mama_sees;2016-11-01 19:50;6;9;"LOCAL EDUCATION WILL RETURN!!! #VoteYourFuture #VoteUSA #AmericaFirst #TrumpPence16 #MakeAmericaGreatAgain pic.twitter.com/U8qY8Un9RG";;;#VoteYourFuture #VoteUSA #AmericaFirst #TrumpPence16 #MakeAmericaGreatAgain;"793601113421406208";https://twitter.com/mama_sees/status/793601113421406208
TonyCrist24;2016-11-01 19:49;0;2;"@RealVinnieJames so sad that so many people that the dems claim to work for have been left behind #MakeAmericaGreatAgain #NeverHillary";;@RealVinnieJames;#MakeAmericaGreatAgain #NeverHillary;"793600999944441856";https://twitter.com/TonyCrist24/status/793600999944441856
duckyBiceps;2016-11-01 19:49;1;5;"One more week. #TrumpPence16 #MakeAmericaGreatAgain";;;#TrumpPence16 #MakeAmericaGreatAgain;"793600996249329666";https://twitter.com/duckyBiceps/status/793600996249329666
emilystrafer;2016-11-01 19:49;0;15;"yep ... that's my aunt #MakeAmericaGreatAgain pic.twitter.com/Otnl51l7IR";St Matthews, KY;;#MakeAmericaGreatAgain;"793600818888921089";https://twitter.com/emilystrafer/status/793600818888921089
JC3Me2;2016-11-01 19:47;3;2;"#MakeAmericaSafeAgain #MakeAmericaFirstAgain #DrainTheSwamp #RebuildRepublic #MakeAmericaGreatAgain #Trump2016 https:// twitter.com/JC3Me2/status/ 793599901728776192 …";;;#MakeAmericaSafeAgain #MakeAmericaFirstAgain #DrainTheSwamp #RebuildRepublic #MakeAmericaGreatAgain #Trump2016;"793600390939840513";https://twitter.com/JC3Me2/status/793600390939840513
lizaprosimova;2016-11-01 19:47;0;1;"Хочу, чтоб в США был первый пережаренный в солярии президент #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"793600285117648897";https://twitter.com/lizaprosimova/status/793600285117648897
_maddiegalloway;2016-11-01 19:46;0;5;"@awarner13 bitch I'm staying #MakeAmericaGreatAgain";;@awarner13;#MakeAmericaGreatAgain;"793600217908121604";https://twitter.com/_maddiegalloway/status/793600217908121604
autumnfox77;2016-11-01 19:45;1;2;"@fucckhunter #MakeAmericaGreatAgain";;@fucckhunter;#MakeAmericaGreatAgain;"793599982729166848";https://twitter.com/autumnfox77/status/793599982729166848
HardiesDazza;2016-11-01 19:44;1;1;"@realDonaldTrump Finally, Australian newspapers start to talk about it.. Oh look, no ties to Russia #MakeAmericaGreatAgain pic.twitter.com/B6d9DhNOHW";;@realDonaldTrump;#MakeAmericaGreatAgain;"793599751744651264";https://twitter.com/HardiesDazza/status/793599751744651264
Nevas74;2016-11-01 19:44;1;0;"Trump Train is moving and nobody can stop it ! Novmber 8th We'll go all the way to the White House GoTrump#MAKEAMERICAGREATAGAIN https:// twitter.com/IngrahamAngle/ status/793594987099394049 …";;;#MAKEAMERICAGREATAGAIN;"793599616520482816";https://twitter.com/Nevas74/status/793599616520482816
AnBeOnd;2016-11-01 19:43;0;0;"Just great... more voter fraud #Democrats #wakeupamerica #BigLeagueTruth #MakeAmericaGreatAgain #MediaLies #MediaBias #FollowTheMoney pic.twitter.com/uR2pyG3yqk";;;#Democrats #wakeupamerica #BigLeagueTruth #MakeAmericaGreatAgain #MediaLies #MediaBias #FollowTheMoney;"793599470973759488";https://twitter.com/AnBeOnd/status/793599470973759488
oop1961;2016-11-01 19:43;0;1;"As a registered Independent, I'm voting for DonaldTrump bcuz I care abt my family #MakeAmericaGreatAgain #DrainTheSwamp #notvotingforher";;;#MakeAmericaGreatAgain #DrainTheSwamp #notvotingforher;"793599278266535936";https://twitter.com/oop1961/status/793599278266535936
dina_signorile;2016-11-01 19:43;0;0;"Thank God for ppl like Trey Gordy he gets it!! #MakeAmericaGreatAgain #TrumpPence16 https:// twitter.com/dcexaminer/sta tus/793591734659846145 …";Oregon, USA;;#MakeAmericaGreatAgain #TrumpPence16;"793599263133405184";https://twitter.com/dina_signorile/status/793599263133405184
MadHatCat3;2016-11-01 19:42;0;1;"I support Team Trump! Download the official app: http:// DonaldJTrump.com/app #MakeAmericaGreatAgain #TrumpTrain pic.twitter.com/cYsRlReEf3";;;#MakeAmericaGreatAgain #TrumpTrain;"793599248029913088";https://twitter.com/MadHatCat3/status/793599248029913088
Darkman3500;2016-11-01 19:42;0;0;"VIDEO: Trump-Hating Reporter DESTROYED By Bill O’Reilly On Live TV http:// en-volve.com/2016/11/01/vid eo-trump-hating-reporter-destroyed-by-bill-oreilly-on-live-tv/ … #MAKEAMERICAGREATAGAIN #MAGA #MAGA3X #TRUMPTRAIN";;;#MAKEAMERICAGREATAGAIN #MAGA #MAGA3X #TRUMPTRAIN;"793599100088299520";https://twitter.com/Darkman3500/status/793599100088299520
ECCDeplorable;2016-11-01 19:42;0;1;"THANK U MARK! U WORK SO HARD & AMERICA IS WATCHING! GOD BLESS! #MakeAmericaGreatAgain #LockHerUp https:// twitter.com/immigrant4trum p/status/793302118694264832 …";;;#MakeAmericaGreatAgain #LockHerUp;"793599048854953984";https://twitter.com/ECCDeplorable/status/793599048854953984
gamecockgirl44;2016-11-01 19:41;0;1;"@ericbolling You could just as easily said @BarackObama failing America. #TrumpTrain #MakeAmericaGreatAgain";;@ericbolling @BarackObama;#TrumpTrain #MakeAmericaGreatAgain;"793598906198331396";https://twitter.com/gamecockgirl44/status/793598906198331396
