username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
deblatorre;2016-11-06 16:58;10;14;"In line with hundreds to early vote in Los Angeles. #elections2016 #imwithher #femalepotus pic.twitter.com/M0N1NNFQ9B";;;#elections2016 #imwithher #femalepotus;"795384775888338944";https://twitter.com/deblatorre/status/795384775888338944
Jimmyboy35;2016-11-06 16:58;0;1;"@ShadyFacts5H @FifthHarmony @camilacabello97 @dinahjane97 @AllyBrooke @LaurenJauregui @NormaniKordei and they can't even fucking sing live";;@ShadyFacts5H @FifthHarmony @camilacabello97 @dinahjane97 @AllyBrooke @LaurenJauregui @NormaniKordei;;"795384768972066818";https://twitter.com/Jimmyboy35/status/795384768972066818
ssmith_calabor;2016-11-06 16:58;3;5;"Cloud lifted. Glass ceiling about to be shattered #ShesWithUs #ImWithHer";;;#ShesWithUs #ImWithHer;"795384764819587072";https://twitter.com/ssmith_calabor/status/795384764819587072
nily;2016-11-06 16:57;5;18;"Fired up in #Queens today with @HillaryForNY ! #ImWithHer #GOTVforHRC pic.twitter.com/Kl2y5zmTf4";;@HillaryForNY;#Queens #ImWithHer #GOTVforHRC;"795384760365367296";https://twitter.com/nily/status/795384760365367296
CamrenLatinOff;2016-11-06 16:57;6;9;"Estamos muy felices y orgullosos de ustedes chicas, lo lograron! @camilacabello97 @LaurenJauregui @dinahjane97 @NormaniKordei @AllyBrooke pic.twitter.com/D5JhOmarR2";;@camilacabello97 @LaurenJauregui @dinahjane97 @NormaniKordei @AllyBrooke;;"795384756640894976";https://twitter.com/CamrenLatinOff/status/795384756640894976
ATXChristina;2016-11-06 16:57;0;1;"Cubs fan trying to win back that Ohio vote! #ImWithHer https:// twitter.com/hillaryclinton /status/795378663781003264 …";;;#ImWithHer;"795384754531090432";https://twitter.com/ATXChristina/status/795384754531090432
Kos_Cars;2016-11-06 16:57;1;1;"FBI Director Comey #Corrupt #ComeyTheClown #ImWithHer 4 Prison #LIAR #Hillary #FBI pic.twitter.com/BVmY5Mj7A0";;;#Corrupt #ComeyTheClown #ImWithHer #LIAR #Hillary #FBI;"795384753184653314";https://twitter.com/Kos_Cars/status/795384753184653314
ChadBeguelin;2016-11-06 16:57;1;1;"BBC News - No criminality in Clinton emails - FBI http://www. bbc.com/news/election- us-2016-37892138 … #imwithher";;;#imwithher;"795384753142792192";https://twitter.com/ChadBeguelin/status/795384753142792192
THEOFFICIALJASJ;2016-11-06 16:57;0;1;"There you go @HillaryClinton !!!! #ImWithHer https:// twitter.com/cnn/status/795 362872754917377 …";;@HillaryClinton;#ImWithHer;"795384744045379584";https://twitter.com/THEOFFICIALJASJ/status/795384744045379584
LaurenESpector;2016-11-06 16:57;0;1;""And we will prove once and for all that love trumps hate." -- @HillaryClinton #ImWithHer";;@HillaryClinton;#ImWithHer;"795384741373636608";https://twitter.com/LaurenESpector/status/795384741373636608
quipgirl;2016-11-06 16:57;2;5;"Rumor has it that @realDonaldTrump twitter account has been taken away from him...he has to be supervised like the child he is. #ImWithHer";;@realDonaldTrump;#ImWithHer;"795384740970893316";https://twitter.com/quipgirl/status/795384740970893316
DoatUpon;2016-11-06 16:57;0;1;"STOP HILLARY! #NeverHillary #CrookedHillary #Warmonger #TrumpTrain #ImWithHer #StrongerTogether #Trump2016 #MAGA https://www. youtube.com/watch?v=G7KNQe 68UR4 …";;;#NeverHillary #CrookedHillary #Warmonger #TrumpTrain #ImWithHer #StrongerTogether #Trump2016 #MAGA;"795384733806960640";https://twitter.com/DoatUpon/status/795384733806960640
mg81992;2016-11-06 16:57;0;0;"I hope the rogue FBI agents who pressured Comey into sending that letter to Congress are caught & disciplined. #ImWithHer https:// twitter.com/cnn/status/795 375086127710208 …";;;#ImWithHer;"795384710134374401";https://twitter.com/mg81992/status/795384710134374401
teddyuniverse;2016-11-06 16:57;1;4;"I honestly can't wait for Donald trump to lose for his supporters can go back to fucking their sisters and cousins . #ImWithHer";;;#ImWithHer;"795384709421400064";https://twitter.com/teddyuniverse/status/795384709421400064
ErikaDMSF;2016-11-06 16:57;0;2;"Even if you can't make calls-call the local @HillaryClinton office and see if they need food. We can all help! #imwithher @selviano https:// twitter.com/levie/status/7 95324026855952385 …";;@HillaryClinton @selviano;#imwithher;"795384702085447680";https://twitter.com/ErikaDMSF/status/795384702085447680
ResilientLight;2016-11-06 16:57;1;1;"She looks like a little gleeful girl compared to him. Super Cute Love it. #ImWithHer #StrongerTogether https:// twitter.com/dougmillsnyt/s tatus/795381721655050241 …";;;#ImWithHer #StrongerTogether;"795384694334455808";https://twitter.com/ResilientLight/status/795384694334455808
