username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2016-06-07 18:45;5149;13947;"Thank you! Together we will #MakeAmericaGreatAgain ! pic.twitter.com/7Jk6voyzue";;;#MakeAmericaGreatAgain;"740313748825505792";https://twitter.com/realDonaldTrump/status/740313748825505792
STEVENA50;2016-06-07 19:59;0;1;"I was supporting @realDonaldTrump before it became the cool thing to do. #DayOne #MakeAmericaGreatAgain #Trump2016 #TrumpTrain";;@realDonaldTrump;#DayOne #MakeAmericaGreatAgain #Trump2016 #TrumpTrain;"740332475805638656";https://twitter.com/STEVENA50/status/740332475805638656
BreakingBad263;2016-06-07 19:59;1;0;"https://www. youtube.com/watch?v=bhV5jI GfID4 … #trump #donaldtrump #trumptrain #makeamericagreatagain #florence #southcarolina #rally #live #livestream ugve";;;#trump #donaldtrump #trumptrain #makeamericagreatagain #florence #southcarolina #rally #live #livestream;"740332421690855424";https://twitter.com/BreakingBad263/status/740332421690855424
KyleKylewynn124;2016-06-07 19:57;0;0;"@realDonaldTrump for president 2016 let's make America great again #MakeAmericaGreatAgain";Dallas, TX;@realDonaldTrump;#MakeAmericaGreatAgain;"740331918076444672";https://twitter.com/KyleKylewynn124/status/740331918076444672
IzzWhizzle2;2016-06-07 19:57;29;73;"#CaliforniaPrimary #MakeAmericaGreatAgain pic.twitter.com/SWT2lQyawP";Bakersfield, CA;;#CaliforniaPrimary #MakeAmericaGreatAgain;"740331866511679488";https://twitter.com/IzzWhizzle2/status/740331866511679488
Skinner147;2016-06-07 19:57;0;0;"#BuildTheWall #Trump2016 #TrumpTrain #SuperTuesday #MakeAmericaGreatAgain https:// twitter.com/DRUDGE_REPORT/ status/740331300725260289 …";;;#BuildTheWall #Trump2016 #TrumpTrain #SuperTuesday #MakeAmericaGreatAgain;"740331842281345024";https://twitter.com/Skinner147/status/740331842281345024
shawgerald4;2016-06-07 19:57;9;12;"@realDonaldTrump @seanhannity You're the man Donald! #MakeAmericaGreatAgain pic.twitter.com/aVyYQmyX9I";;@realDonaldTrump @seanhannity;#MakeAmericaGreatAgain;"740331797414744065";https://twitter.com/shawgerald4/status/740331797414744065
Chateauprovence;2016-06-07 19:57;0;1;"love this tweet Lazy Liberals @realDonaldTrump #MakeAmericaGreatAgain #VoteTrump https:// twitter.com/trumpsguccigir l/status/740259694351110144 …";;@realDonaldTrump;#MakeAmericaGreatAgain #VoteTrump;"740331789214846976";https://twitter.com/Chateauprovence/status/740331789214846976
NewJerseyMikey;2016-06-07 19:57;0;0;"Get out and VOTE In California I Voted Trump #MakeAmericaGreatAgain #VoteTrumpUSA #AMERICAFIRST https:// twitter.com/FOXLA/status/7 40317539998138371 …";;;#MakeAmericaGreatAgain #VoteTrumpUSA #AMERICAFIRST;"740331767861673986";https://twitter.com/NewJerseyMikey/status/740331767861673986
sskip800;2016-06-07 19:56;3;4;"@greta Gotta love 'dem Jersey Boys! NJ loves @realDonaldTrump . No ifs and or buts abt it. #MakeAmericaGreatAgain";;@greta @realDonaldTrump;#MakeAmericaGreatAgain;"740331729081278464";https://twitter.com/sskip800/status/740331729081278464
kerriburn;2016-06-07 19:56;0;0;"Funny Jon Stewart reappears to do some @realDonaldTrump bashing for the squatter in the WH. Just in time. #Trump2016 #MakeAmericaGreatAgain";;@realDonaldTrump;#Trump2016 #MakeAmericaGreatAgain;"740331711154683904";https://twitter.com/kerriburn/status/740331711154683904
melisacurra;2016-06-07 19:56;0;0;"The only ppl in this country suffering is the middle class. . @realDonaldTrump can change that #MakeAmericaGreatAgain #Independentsfortrump";;@realDonaldTrump;#MakeAmericaGreatAgain #Independentsfortrump;"740331647497703424";https://twitter.com/melisacurra/status/740331647497703424
mmclauchlan89;2016-06-07 19:56;1;1;"Let's go Yanks!!! vs #CopaAmerica #USMNT #MakeAmericaGreatAgain #MakeUSMNTGreatAgain";;;#CopaAmerica #USMNT #MakeAmericaGreatAgain #MakeUSMNTGreatAgain;"740331633002221570";https://twitter.com/mmclauchlan89/status/740331633002221570
JLehmann8194;2016-06-07 19:56;0;8;"S/O to the guy at Walmart that had 'Redneck Pride' tattooed on his forearm #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"740331616946425856";https://twitter.com/JLehmann8194/status/740331616946425856
BigMuscleBabe;2016-06-07 19:56;6;5;"Thank you, American Patriot! We love you for voting to #MakeAmericaGreatAgain https:// twitter.com/AmericanMex067 /status/740220540674146304 …";;;#MakeAmericaGreatAgain;"740331540089995264";https://twitter.com/BigMuscleBabe/status/740331540089995264
alecbehrens;2016-06-07 19:56;0;4;"Go vote today! #MakeAmericaGreatAgain";;;#MakeAmericaGreatAgain;"740331507223433216";https://twitter.com/alecbehrens/status/740331507223433216
TIMENOUT;2016-06-07 19:55;8;4;"Judge Linked to Group that Calls for Boycott of Trump Businesses http:// bit.ly/1t6uT8H via @BreitbartNews #MakeAmericaGreatAgain";;@BreitbartNews;#MakeAmericaGreatAgain;"740331416634810368";https://twitter.com/TIMENOUT/status/740331416634810368
