username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KamVTV;2016-04-07 15:49;186;251;"This has made my day! #MakeAmericaGreatAgain #NYPrimary #NYValues pic.twitter.com/iTnjgTrpkr";;;#MakeAmericaGreatAgain #NYPrimary #NYValues;"718163756954492930";https://twitter.com/KamVTV/status/718163756954492930
joshdill64;2016-04-07 19:32;23;25;"Plain and simple. Our future is at stake! #VoteTrump2016 & #MakeAmericaGreatAgain https:// twitter.com/JuicyPieTaster /status/718213630353809408 …";;;#VoteTrump2016 #MakeAmericaGreatAgain;"718219847000264708";https://twitter.com/joshdill64/status/718219847000264708
JLKing64;2016-04-07 19:59;1;3;"@LouDobbs @realDonaldTrump The challenge is getting the young voters to understand this! #blindedbyfreestuff #MakeAmericaGreatAgain";;@LouDobbs @realDonaldTrump;#blindedbyfreestuff #MakeAmericaGreatAgain;"718226801689042944";https://twitter.com/JLKing64/status/718226801689042944
RichardWeaving;2016-04-07 19:59;2;7;"#NeverCruz Ever ! #AlwaysTrump #MakeAmericaGreatAgain #VoteTrumpNY pic.twitter.com/b6id1Lk6Au";;;#NeverCruz #AlwaysTrump #MakeAmericaGreatAgain #VoteTrumpNY;"718226798694309888";https://twitter.com/RichardWeaving/status/718226798694309888
mama_sees;2016-04-07 19:59;1;1;"#NYValues #NewYorkValues #NeverCruz #MakeAmericaGreatAgain #Trump2016 #TrumpTrain https:// twitter.com/philbo777/stat us/718224426848907264 …";;;#NYValues #NewYorkValues #NeverCruz #MakeAmericaGreatAgain #Trump2016 #TrumpTrain;"718226641269440517";https://twitter.com/mama_sees/status/718226641269440517
NikkiBlakk;2016-04-07 19:59;0;2;"Flute players pulled so much tail in the 70's. #makeamericagreatagain";;;#makeamericagreatagain;"718226609313067008";https://twitter.com/NikkiBlakk/status/718226609313067008
MaddyRentrop;2016-04-07 19:58;0;1;"@thetimmyconnors omg yassssss someone needs to talk sense into the trump haters #MakeAmericaGreatAgain";;@thetimmyconnors;#MakeAmericaGreatAgain;"718226586743500800";https://twitter.com/MaddyRentrop/status/718226586743500800
VickyBrush;2016-04-07 19:58;2;1;"#MakeAmericaGreatAgain #VoteTrump #TrumpTrain #USA4DJT https:// twitter.com/manhattancapit a/status/718225968339501061 …";;;#MakeAmericaGreatAgain #VoteTrump #TrumpTrain #USA4DJT;"718226497874616321";https://twitter.com/VickyBrush/status/718226497874616321
ATechAutoMag;2016-04-07 19:58;0;0;"Two-Face Ted Cruz has no values. That's why he can't appreciate New York values. #MakeAmericaGreatAgain #Trump2016 pic.twitter.com/zjqx0IwV9i";;;#MakeAmericaGreatAgain #Trump2016;"718226488479346690";https://twitter.com/ATechAutoMag/status/718226488479346690
JRMartinMedia;2016-04-07 19:58;0;0;"I Love New York! Let's #MakeAmericaGreatAgain by giving @realDonaldTrump a HUGE victory with 100% of NY GOP delegates & stop Lying Cruz!";;@realDonaldTrump;#MakeAmericaGreatAgain;"718226480707346432";https://twitter.com/JRMartinMedia/status/718226480707346432
